[2025-07-12T10:42:43,736-04:00] <launcher> INFO  migration - Version 9.0.108 has changed to 9.2.87, attempting to start migration
[2025-07-12T10:42:44,188-04:00] <launcher> INFO  migration - DB migration initialized
[2025-07-12T10:42:44,195-04:00] <launcher> INFO  migration - DB version (9.0.108) different from Runtime Version(9.2.87), migrating...
[2025-07-12T10:42:44,576-04:00] <launcher> INFO  migration - *** Migrating site[679cf594451e292aa535a8fe]
[2025-07-12T10:42:44,589-04:00] <launcher> INFO  migration - Started migration step: Provision UbiOS devices if any FEC-mode supporting port configured auto-negotiation
[2025-07-12T10:42:44,594-04:00] <launcher> INFO  migration - Finished migration step: Provision UbiOS devices if any FEC-mode supporting port configured auto-negotiation
[2025-07-12T10:42:44,594-04:00] <launcher> INFO  migration - Started migration step: Remove config meta for site and reprovision
[2025-07-12T10:42:44,609-04:00] <launcher> INFO  migration - Marking device for provisioning during DB migration. Model: U7MSH, MAC: d8:b3:70:c0:34:05
[2025-07-12T10:42:44,614-04:00] <launcher> INFO  migration - Marking device for provisioning during DB migration. Model: U7MSH, MAC: d8:b3:70:b9:a9:9d
[2025-07-12T10:42:44,618-04:00] <launcher> INFO  migration - Finished migration step: Remove config meta for site and reprovision
[2025-07-12T10:42:44,619-04:00] <launcher> INFO  migration - Started migration step: Create missing default Pre-set channel width in WiFi AI Setting
[2025-07-12T10:42:44,629-04:00] <launcher> INFO  migration - Finished migration step: Create missing default Pre-set channel width in WiFi AI Setting
[2025-07-12T10:42:44,636-04:00] <launcher> INFO  migration - Started migration step: Reprovision wireless adopted devices
[2025-07-12T10:42:44,639-04:00] <launcher> INFO  migration - Marking device for provisioning during DB migration. Model: U7MSH, MAC: d8:b3:70:c0:34:05
[2025-07-12T10:42:44,643-04:00] <launcher> INFO  migration - Marking device for provisioning during DB migration. Model: U7MSH, MAC: d8:b3:70:b9:a9:9d
[2025-07-12T10:42:44,648-04:00] <launcher> INFO  migration - Finished migration step: Reprovision wireless adopted devices
[2025-07-12T10:42:44,648-04:00] <launcher> INFO  migration - Started migration step: Remove invalid AP ethernet_table entries
[2025-07-12T10:42:44,652-04:00] <launcher> INFO  migration - Finished migration step: Remove invalid AP ethernet_table entries
[2025-07-12T10:42:44,652-04:00] <launcher> INFO  migration - Started migration step: Set default failover priority for WANs
[2025-07-12T10:42:44,654-04:00] <launcher> INFO  migration - Finished migration step: Set default failover priority for WANs
[2025-07-12T10:42:44,655-04:00] <launcher> INFO  migration - Started migration step: Provision gateway to address Zone-Based Firewall incorrect allow respond traffic rule generation
[2025-07-12T10:42:44,663-04:00] <launcher> INFO  migration - Finished migration step: Provision gateway to address Zone-Based Firewall incorrect allow respond traffic rule generation
[2025-07-12T10:42:44,664-04:00] <launcher> INFO  migration - Started migration step: Create ULTE Failover network if missing
[2025-07-12T10:42:44,668-04:00] <launcher> INFO  migration - Finished migration step: Create ULTE Failover network if missing
[2025-07-12T10:42:44,669-04:00] <launcher> INFO  migration - Started migration step: Remove config meta for site and reprovision
[2025-07-12T10:42:44,672-04:00] <launcher> INFO  migration - Marking device for provisioning during DB migration. Model: U7MSH, MAC: d8:b3:70:c0:34:05
[2025-07-12T10:42:44,676-04:00] <launcher> INFO  migration - Marking device for provisioning during DB migration. Model: U7MSH, MAC: d8:b3:70:b9:a9:9d
[2025-07-12T10:42:44,680-04:00] <launcher> INFO  migration - Finished migration step: Remove config meta for site and reprovision
[2025-07-12T10:42:44,681-04:00] <launcher> INFO  migration - Started migration step: Provision gateway to address Zone-Based Firewall allow return policy order
[2025-07-12T10:42:44,683-04:00] <launcher> INFO  migration - Finished migration step: Provision gateway to address Zone-Based Firewall allow return policy order
[2025-07-12T10:42:44,683-04:00] <launcher> INFO  migration - Started migration step: Provision switches affected by IPv4 ACL rules with source or destination port set to Any
[2025-07-12T10:42:44,690-04:00] <launcher> INFO  migration - Finished migration step: Provision switches affected by IPv4 ACL rules with source or destination port set to Any
[2025-07-12T10:42:44,691-04:00] <launcher> INFO  migration - Started migration step: Provision gateway to address Zone-Based QoS rules without schedule
[2025-07-12T10:42:44,696-04:00] <launcher> INFO  migration - Finished migration step: Provision gateway to address Zone-Based QoS rules without schedule
[2025-07-12T10:42:44,697-04:00] <launcher> INFO  migration - Started migration step: Provision layer-3 switches if layer-3 routing exists
[2025-07-12T10:42:44,701-04:00] <launcher> INFO  migration - Finished migration step: Provision layer-3 switches if layer-3 routing exists
[2025-07-12T10:42:44,701-04:00] <launcher> INFO  migration - Started migration step: Provision gateway for port forwarding
[2025-07-12T10:42:44,702-04:00] <launcher> INFO  migration - Finished migration step: Provision gateway for port forwarding
[2025-07-12T10:42:44,703-04:00] <launcher> INFO  migration - Started migration step: Append burst fields for QoS rule
[2025-07-12T10:42:44,705-04:00] <launcher> INFO  migration - Finished migration step: Append burst fields for QoS rule
[2025-07-12T10:42:44,705-04:00] <launcher> INFO  migration - Started migration step: Append objective field for QoS rule
[2025-07-12T10:42:44,706-04:00] <launcher> INFO  migration - Finished migration step: Append objective field for QoS rule
[2025-07-12T10:42:44,707-04:00] <launcher> INFO  migration - Started migration step: Assign internal zone for inter routing vlan
[2025-07-12T10:42:44,712-04:00] <launcher> INFO  migration - Finished migration step: Assign internal zone for inter routing vlan
[2025-07-12T10:42:44,713-04:00] <launcher> INFO  migration - Started migration step: Append lag_idx for aggregate port and re-provision USW devices
[2025-07-12T10:42:44,715-04:00] <launcher> INFO  migration - Finished migration step: Append lag_idx for aggregate port and re-provision USW devices
[2025-07-12T10:42:44,716-04:00] <launcher> INFO  migration - Started migration step: Provision gateway to address not assigned network groups
[2025-07-12T10:42:44,718-04:00] <launcher> INFO  migration - Finished migration step: Provision gateway to address not assigned network groups
[2025-07-12T10:42:44,718-04:00] <launcher> INFO  migration - Started migration step: Remove config meta for site and reprovision for MediaTek APs
[2025-07-12T10:42:44,723-04:00] <launcher> INFO  migration - Finished migration step: Remove config meta for site and reprovision for MediaTek APs
[2025-07-12T10:42:44,724-04:00] <launcher> INFO  migration - Started migration step: Create default mDNS discovered services setting
[2025-07-12T10:42:44,738-04:00] <launcher> INFO  migration - Finished migration step: Create default mDNS discovered services setting
[2025-07-12T10:42:44,739-04:00] <launcher> INFO  migration - Started migration step: Create default mDNS discovered services setting
[2025-07-12T10:42:44,740-04:00] <launcher> INFO  migration - Finished migration step: Create default mDNS discovered services setting
[2025-07-12T10:42:44,741-04:00] <launcher> INFO  migration - Started migration step: Remove config meta for site and reprovision for MediaTek APs
[2025-07-12T10:42:44,744-04:00] <launcher> INFO  migration - Finished migration step: Remove config meta for site and reprovision for MediaTek APs
[2025-07-12T10:42:44,744-04:00] <launcher> INFO  migration - Started migration step: Create missing default Pre-set DFS enabled flag in WiFi AI Setting
[2025-07-12T10:42:44,749-04:00] <launcher> INFO  migration - Finished migration step: Create missing default Pre-set DFS enabled flag in WiFi AI Setting
[2025-07-12T10:42:44,750-04:00] <launcher> INFO  migration - Started migration step: Migrate Shadow Mode setting for Multi-WAN support
[2025-07-12T10:42:44,751-04:00] <launcher> INFO  migration - Finished migration step: Migrate Shadow Mode setting for Multi-WAN support
[2025-07-12T10:42:44,752-04:00] <launcher> INFO  migration - Started migration step: Remove PoE mode control from UDB not supporting the feature
[2025-07-12T10:42:44,754-04:00] <launcher> INFO  migration - Finished migration step: Remove PoE mode control from UDB not supporting the feature
[2025-07-12T10:42:44,754-04:00] <launcher> INFO  migration - Started migration step: Append mc_lag_index to MC-LAG groups
[2025-07-12T10:42:44,757-04:00] <launcher> INFO  migration - Finished migration step: Append mc_lag_index to MC-LAG groups
[2025-07-12T10:42:44,757-04:00] <launcher> INFO  migration - Started migration step: Re-provision Mesh Points to apply new bridge-firewall configuration
[2025-07-12T10:42:44,759-04:00] <launcher> INFO  migration - Finished migration step: Re-provision Mesh Points to apply new bridge-firewall configuration
[2025-07-12T10:42:44,759-04:00] <launcher> INFO  migration - Started migration step: Adjust Identity VPN rule name
[2025-07-12T10:42:44,760-04:00] <launcher> INFO  migration - Finished migration step: Adjust Identity VPN rule name
[2025-07-12T10:42:44,761-04:00] <launcher> INFO  migration - Started migration step: Migrate SSL Inspection Filter Id format
[2025-07-12T10:42:44,762-04:00] <launcher> INFO  migration - Finished migration step: Migrate SSL Inspection Filter Id format
[2025-07-12T10:42:44,762-04:00] <launcher> INFO  migration - Started migration step: Add disabled property for ethernet overrides
[2025-07-12T10:42:44,764-04:00] <launcher> INFO  migration - Finished migration step: Add disabled property for ethernet overrides
[2025-07-12T10:42:44,765-04:00] <launcher> INFO  migration - Started migration step: Remove gateway without switch capabilities from global switch settings
[2025-07-12T10:42:44,768-04:00] <launcher> INFO  migration - Finished migration step: Remove gateway without switch capabilities from global switch settings
[2025-07-12T10:42:44,768-04:00] <launcher> INFO  migration - Started migration step: Remove traffic rule, simple app block, firewall policy apps over the limit
[2025-07-12T10:42:44,776-04:00] <launcher> INFO  migration - Finished migration step: Remove traffic rule, simple app block, firewall policy apps over the limit
[2025-07-12T10:42:44,776-04:00] <launcher> INFO  migration - Started migration step: Provision USW to Have IGMP Multicast configuration
[2025-07-12T10:42:44,778-04:00] <launcher> INFO  migration - Finished migration step: Provision USW to Have IGMP Multicast configuration
[2025-07-12T10:42:44,778-04:00] <launcher> INFO  migration - Started migration step: Migrate load balancing weight for WAN1
[2025-07-12T10:42:44,780-04:00] <launcher> INFO  migration - Finished migration step: Migrate load balancing weight for WAN1
[2025-07-12T10:42:44,781-04:00] <launcher> INFO  migration - Started migration step: Provision UDM with QCA WiFi Chip
[2025-07-12T10:42:44,782-04:00] <launcher> INFO  migration - Finished migration step: Provision UDM with QCA WiFi Chip
[2025-07-12T10:42:44,783-04:00] <launcher> INFO  migration - Started migration step: Re-provision gateway config for firewall zone rules
[2025-07-12T10:42:44,784-04:00] <launcher> INFO  migration - Finished migration step: Re-provision gateway config for firewall zone rules
[2025-07-12T10:42:44,785-04:00] <launcher> INFO  migration - Started migration step: Re-provision UDR
[2025-07-12T10:42:44,787-04:00] <launcher> INFO  migration - Finished migration step: Re-provision UDR
[2025-07-12T10:42:44,787-04:00] <launcher> INFO  migration - Started migration step: Re-provision gateway if LAG created on standalone port and if there is VLAN-Only network in site
[2025-07-12T10:42:44,788-04:00] <launcher> INFO  migration - Finished migration step: Re-provision gateway if LAG created on standalone port and if there is VLAN-Only network in site
[2025-07-12T10:42:44,789-04:00] <launcher> INFO  migration - Started migration step: Re-provision gateway config for firewall zone rules
[2025-07-12T10:42:44,790-04:00] <launcher> INFO  migration - Finished migration step: Re-provision gateway config for firewall zone rules
[2025-07-12T10:42:44,790-04:00] <launcher> INFO  migration - Started migration step: Update absent WAN network group in downtime history to WAN1
[2025-07-12T10:42:44,799-04:00] <launcher> INFO  migration - Update absent wan_networkgroup in downtime documents to WAN. matched: 0, modified: 0
[2025-07-12T10:42:44,799-04:00] <launcher> INFO  migration - Finished migration step: Update absent WAN network group in downtime history to WAN1
[2025-07-12T10:42:44,800-04:00] <launcher> INFO  migration - Started migration step: Re-provision gateway if it has LAG created and is enabled Jumbo-Frame
[2025-07-12T10:42:44,802-04:00] <launcher> INFO  migration - Finished migration step: Re-provision gateway if it has LAG created and is enabled Jumbo-Frame
[2025-07-12T10:42:44,803-04:00] <launcher> INFO  migration - Started migration step: Re-provision switch devices without IGMP support
[2025-07-12T10:42:44,804-04:00] <launcher> INFO  migration - Finished migration step: Re-provision switch devices without IGMP support
[2025-07-12T10:42:44,805-04:00] <launcher> INFO  migration - Started migration step: Populate mDNS setting mode
[2025-07-12T10:42:44,806-04:00] <launcher> INFO  migration - Finished migration step: Populate mDNS setting mode
[2025-07-12T10:42:44,807-04:00] <launcher> INFO  migration - Started migration step: Remove invalid IPS/IDS categories from suppression alerts
[2025-07-12T10:42:44,809-04:00] <launcher> INFO  migration - Finished migration step: Remove invalid IPS/IDS categories from suppression alerts
[2025-07-12T10:42:44,809-04:00] <launcher> INFO  migration - Started migration step: Re-provision UDM Base if disabled LAN in Ethernet Overrides
[2025-07-12T10:42:44,812-04:00] <launcher> INFO  migration - Finished migration step: Re-provision UDM Base if disabled LAN in Ethernet Overrides
