show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s1,Movie,Title 1,Michael Johnson,"Actor C, Actor D",Mexico,24-6-2015,2020,TV-14,104 min,Children & Family Movies,A comedy about unexpected roommates.
s2,Movie,Title 2,Emily Davis,"Actor G, Actor H",Japan,21-5-2020,2006,TV-MA,85 min,Dramas,A thrilling story of love and betrayal.
s3,Movie,Title 3,Jane Doe,"Actor G, Actor H",Japan,1-2-2020,2020,G,83 min,Children & Family Movies,A comedy about unexpected roommates.
s4,Movie,Title 4,Emily Davis,"Actor C, Actor D",India,5-11-2018,2017,PG-13,143 min,Dramas,A comedy about unexpected roommates.
s5,TV Show,Title 5,John Smith,"Actor C, Actor D",Brazil,23-2-2021,2000,TV-14,3 Seasons,Horror,A thrilling story of love and betrayal.
s6,Movie,Title 6,Robert Brown,"Actor A, Actor B",Japan,28-5-2022,2023,PG-13,178 min,Children & Family Movies,A documentary about climate change.
s7,TV Show,Title 7,John Smith,"Actor I, Actor J",United States,24-7-2017,2002,R,9 Seasons,Dramas,A comedy about unexpected roommates.
s8,TV Show,Title 8,Michael Johnson,"Actor E, Actor F",France,20-9-2020,2013,R,6 Seasons,Horror,An inspiring journey of self-discovery.
s9,Movie,Title 9,Robert Brown,"Actor I, Actor J",United States,19-12-2018,2002,TV-14,97 min,Children & Family Movies,An inspiring journey of self-discovery.
s10,Movie,Title 10,Emily Davis,"Actor E, Actor F",Spain,11-1-2020,2008,R,138 min,Action & Adventure,A thrilling story of love and betrayal.
s11,Movie,Title 11,Jane Doe,"Actor G, Actor H",Mexico,26-1-2016,2010,TV-14,139 min,Action & Adventure,A documentary about climate change.
s12,Movie,Title 12,Robert Brown,"Actor C, Actor D",Canada,26-8-2022,2000,R,108 min,Dramas,A thrilling story of love and betrayal.
s13,TV Show,Title 13,John Smith,"Actor C, Actor D",United States,27-6-2015,2007,PG,10 Seasons,Dramas,A thrilling story of love and betrayal.
s14,TV Show,Title 14,John Smith,"Actor E, Actor F",Japan,11-11-2017,2016,TV-MA,4 Seasons,Comedies,A thrilling story of love and betrayal.
s15,TV Show,Title 15,Laura Wilson,"Actor A, Actor B",India,13-9-2016,2016,R,8 Seasons,Children & Family Movies,A horror film set in an abandoned hospital.
s16,TV Show,Title 16,Emily Davis,"Actor E, Actor F",United Kingdom,13-6-2021,2022,R,1 Seasons,Horror,A documentary about climate change.
s17,Movie,Title 17,Laura Wilson,"Actor C, Actor D",India,5-12-2021,2013,G,86 min,Romantic Movies,A comedy about unexpected roommates.
s18,Movie,Title 18,Jane Doe,"Actor E, Actor F",United Kingdom,24-8-2015,2018,PG,174 min,Children & Family Movies,A comedy about unexpected roommates.
s19,TV Show,Title 19,John Smith,"Actor I, Actor J",Canada,21-5-2019,2001,PG-13,6 Seasons,Comedies,A thrilling story of love and betrayal.
s20,Movie,Title 20,John Smith,"Actor I, Actor J",Japan,21-11-2019,2009,PG,140 min,Romantic Movies,An inspiring journey of self-discovery.
s21,TV Show,Title 21,Jane Doe,"Actor I, Actor J",France,17-11-2017,2023,PG,8 Seasons,Action & Adventure,An inspiring journey of self-discovery.
s22,Movie,Title 22,John Smith,"Actor C, Actor D",Brazil,23-9-2015,2021,G,122 min,Dramas,A thrilling story of love and betrayal.
s23,TV Show,Title 23,Jane Doe,"Actor E, Actor F",Japan,18-2-2017,2002,TV-MA,3 Seasons,Horror,A documentary about climate change.
s24,Movie,Title 24,Laura Wilson,"Actor E, Actor F",South Korea,14-8-2018,2014,G,152 min,Romantic Movies,A thrilling story of love and betrayal.
s25,TV Show,Title 25,John Smith,"Actor G, Actor H",India,27-5-2018,2001,R,1 Seasons,Action & Adventure,A comedy about unexpected roommates.
s26,Movie,Title 26,Laura Wilson,"Actor G, Actor H",South Korea,4-10-2020,2003,PG-13,88 min,Documentaries,A horror film set in an abandoned hospital.
s27,TV Show,Title 27,Michael Johnson,"Actor I, Actor J",United Kingdom,4-11-2015,2002,PG-13,1 Seasons,Dramas,A thrilling story of love and betrayal.
s28,TV Show,Title 28,John Smith,"Actor I, Actor J",United Kingdom,21-6-2020,2013,R,8 Seasons,Horror,A documentary about climate change.
s29,Movie,Title 29,Laura Wilson,"Actor A, Actor B",South Korea,22-8-2015,2012,R,167 min,Documentaries,A comedy about unexpected roommates.
s30,Movie,Title 30,John Smith,"Actor E, Actor F",France,24-7-2018,2017,TV-MA,95 min,Comedies,An inspiring journey of self-discovery.
s31,Movie,Title 31,Jane Doe,"Actor A, Actor B",United States,19-8-2016,2010,TV-MA,86 min,Documentaries,A documentary about climate change.
s32,Movie,Title 32,Jane Doe,"Actor G, Actor H",United States,20-10-2015,2016,PG-13,130 min,Children & Family Movies,A comedy about unexpected roommates.
s33,Movie,Title 33,Emily Davis,"Actor E, Actor F",Japan,7-7-2021,2014,PG-13,112 min,Dramas,A thrilling story of love and betrayal.
s34,TV Show,Title 34,Emily Davis,"Actor I, Actor J",Japan,7-1-2018,2011,PG,6 Seasons,Action & Adventure,A comedy about unexpected roommates.
s35,Movie,Title 35,John Smith,"Actor C, Actor D",Mexico,24-10-2023,2006,TV-14,161 min,Dramas,An inspiring journey of self-discovery.
s36,TV Show,Title 36,Laura Wilson,"Actor I, Actor J",Mexico,25-1-2015,2015,PG-13,2 Seasons,Comedies,A horror film set in an abandoned hospital.
s37,TV Show,Title 37,Jane Doe,"Actor I, Actor J",South Korea,6-5-2018,2015,PG,5 Seasons,Documentaries,An inspiring journey of self-discovery.
s38,TV Show,Title 38,Michael Johnson,"Actor G, Actor H",United Kingdom,3-2-2021,2014,TV-MA,7 Seasons,Dramas,A thrilling story of love and betrayal.
s39,TV Show,Title 39,Michael Johnson,"Actor E, Actor F",South Korea,7-8-2016,2008,R,8 Seasons,Romantic Movies,A horror film set in an abandoned hospital.
s40,Movie,Title 40,Laura Wilson,"Actor C, Actor D",United States,15-3-2023,2005,TV-14,61 min,Comedies,A documentary about climate change.
